name|url|parent
고령군|http://www.goryeong.go.kr|경상북도
성주군|http://www.sj.go.kr|경상북도
칠곡군|http://www.chilgok.go.kr|경상북도
예천군|http://www.ycg.kr|경상북도
봉화군|http://www.bonghwa.go.kr|경상북도
울진군|http://www.uljin.go.kr|경상북도
울릉군|http://www.ulleung.go.kr|경상북도
경상남도|http://www.gyeongnam.go.kr|경상남도
창원시|http://www.changwon.go.kr|경상남도
진주시|http://www.jinju.go.kr|경상남도
통영시|http://www.tongyeong.go.kr|경상남도
사천시|http://www.sacheon.go.kr|경상남도
김해시|http://www.gimhae.go.kr|경상남도
밀양시|http://www.miryang.go.kr|경상남도
거제시|http://www.geoje.go.kr|경상남도
양산시|http://www.yangsan.go.kr|경상남도
의령군|http://www.uiryeong.go.kr|경상남도
함안군|http://www.haman.go.kr|경상남도
창녕군|http://www.cng.go.kr|경상남도
고성군|http://www.goseong.go.kr|경상남도
남해군|http://www.namhae.go.kr|경상남도
하동군|http://www.hadong.go.kr|경상남도
산청군|http://www.sancheong.go.kr|경상남도
함양군|http://www.hygn.go.kr|경상남도
거창군|http://www.geochang.go.kr|경상남도
합천군|http://www.hc.go.kr|경상남도
제주특별자치도|http://www.jeju.go.kr|제주특별자치도
제주시|http://www.jejusi.go.kr/index.ac|제주특별자치도
서귀포시|https://www.seogwipo.go.kr/index.htm|제주특별자치도
